zimbabwe;95345.0;
 Hull    450733202;223990.6464534689;2.349264738092914 
 ClosestN    790119998;236464.38427726863;2.480092131493719

oman;86891.0;
 Hull    1630598763;424236.9925253936;4.882404305686361 
 ClosestN    6938099785;226093.19190033514;2.6020323382207033

djibouti;6656.0;
 Hull    701750;11395.460146497517;1.712058315279074 
 ClosestN    317733;7846.137075888501;1.1788066520265177

western sahara;27603.0;
 Hull    365629;36476.87565685005;1.3214822902166448 
 ClosestN    151383;38197.2019611366;1.383806179079687

qatar;9352.0;
 Hull    15467142;19438.33013427247;2.0785211862994513 
 ClosestN    6375616;18682.507790509375;1.997701859549762

uruguay;79114.0;
 Hull    236618756;201194.51784314658;2.543096264164959 
 ClosestN    166947124;195696.31637043058;2.4735990642671406

