zimbabwe;95345.0;518;223990.6464534689;2.349264738092914 
sweden;855597.0;408209;4832380.205103773;5.647963007237955 
canada;1290319.0;10439;8415812.653741956;6.52227290595733 
oman;86891.0;1760;424236.9925253936;4.882404305686361 
greece;300899.0;54684;2306167.1708741095;7.664256680394782 
djibouti;6656.0;1;11395.460146497517;1.712058315279074 
finland;520527.0;62379;2278519.403381631;4.377331825979499 
qatar;9352.0;16;19438.33013427247;2.0785211862994513 
vietnam;569288.0;323235;3562711.6461796816;6.258188555142005 
japan;491924.0;47066;1.4137691069283124E7;28.7395838976816 
western sahara;27603.0;0;36476.87565685005;1.3214822902166448 
uruguay;79114.0;278;201194.51784314658;2.543096264164959 
italy;557315.0;164594;2800649.3679563403;5.025253883273087

OPT ; TIME ; DIST ; RATIO 
